Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
ADI,"Analog Devices, Inc. Common Stock","91,776,818,894",$182.32 ,$0.89 ,0.49%
ADSK,"Autodesk, Inc. Common Stock","42,166,140,057",$196.32 ,$3.59 ,1.86%
AEP,"American Electric Power Company, Inc. Common Stock","47,181,404,445",$91.72 ,$0.62 ,0.68%
ALGN,"Align Technology, Inc. Common Stock","23,425,350,803",$305.26 ,$2.52 ,0.83%
AMGN,Amgen Inc. Common Stock,"125,065,169,167",$234.15 ,$0.04 ,-0.02%
AMZN,"Amazon.com, Inc. Common Stock","1,121,391,310,758",$110.47 ,$0.28 ,0.25%
ANSS,"ANSYS, Inc. Common Stock","25,679,463,701",$295.81 ,$2.16 ,0.74%
ASML,ASML Holding N.V. New York Registry Shares,"259,300,607,773",$654.62 ,$2.52 ,0.38%
AZN,AstraZeneca PLC American Depositary Shares,"232,074,130,959",$75.23 ,$0.36 ,-0.48%
BIIB,Biogen Inc. Common Stock,"45,341,974,464",$309.75 ,$3.51 ,-1.12%
BKR,Baker Hughes Company Class A Common Stock,"28,234,781,368",$27.99 ,$0.10 ,-0.36%
CDNS,"Cadence Design Systems, Inc. Common Stock","55,679,345,960",$204.19 ,$0.16 ,0.08%
CEG,Constellation Energy Corporation Common Stock,"26,024,428,181",$79.46 ,$0.51 ,0.64%
COST,Costco Wholesale Corporation Common Stock,"221,590,818,210",$499.32 ,$0.34 ,-0.07%
CPRT,"Copart, Inc. (DE) Common Stock","38,127,401,280",$79.74 ,$0.26 ,0.32%
CSCO,"Cisco Systems, Inc. Common Stock (DE)","191,315,907,137",$46.66 ,$0.05 ,0.11%
CSGP,"CoStar Group, Inc. Common Stock","30,690,979,919",$75.45 ,$1.45 ,1.96%
CSX,CSX Corporation Common Stock,"64,671,477,069",$31.81 ,$0.21 ,-0.66%
CTAS,Cintas Corporation Common Stock,"48,108,004,346",$473.03 ,$11.49 ,2.49%
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"31,747,085,722",$62.56 ,$0.93 ,1.51%
DLTR,Dollar Tree Inc. Common Stock,"34,095,592,164",$154.12 ,$0.00 ,0%
DXCM,"DexCom, Inc. Common Stock","47,512,498,311",$122.57 ,$2.92 ,2.44%
EA,Electronic Arts Inc. Common Stock,"34,207,150,325",$125.00 ,$0.26 ,-0.21%
EBAY,eBay Inc. Common Stock,"24,599,854,521",$45.82 ,$0.01 ,0.02%
ENPH,"Enphase Energy, Inc. Common Stock","22,121,598,251",$161.00 ,$0.42 ,0.26%
EXC,Exelon Corporation Common Stock,"42,675,312,994",$42.92 ,$0.30 ,0.70%
FANG,"Diamondback Energy, Inc. Common Stock","23,697,607,873",$130.70 ,$0.21 ,-0.16%
FAST,Fastenal Company Common Stock,"31,173,206,745",$54.59 ,$0.13 ,0.24%
FISV,"Fiserv, Inc. Common Stock","73,749,710,305",$118.35 ,$1.04 ,-0.87%
FTNT,"Fortinet, Inc. Common Stock","52,832,806,877",$67.21 ,$0.20 ,0.30%
GFS,GlobalFoundries Inc. Ordinary Shares,"29,852,646,737",$54.50 ,$0.00 ,0%
IDXX,"IDEXX Laboratories, Inc. Common Stock","40,250,947,621",$490.00 ,$4.89 ,1.01%
ILMN,"Illumina, Inc. Common Stock","33,110,388,268",$210.74 ,$1.25 ,0.60%
ISRG,"Intuitive Surgical, Inc. Common Stock","106,026,951,396",$302.01 ,$0.58 ,0.19%
JD,"JD.com, Inc. American Depositary Shares","55,244,183,576",$36.22 ,$1.12 ,-3.19%
KLAC,KLA Corporation Common Stock,"53,505,811,214",$386.38 ,$0.00 ,0%
LULU,lululemon athletica inc. Common Stock,"48,236,091,624",$378.80 ,$0.52 ,-0.14%
MAR,Marriott International Class A Common Stock,"54,249,227,195",$175.63 ,$3.36 ,-1.88%
MCHP,Microchip Technology Incorporated Common Stock,"40,630,021,680",$74.17 ,$1.46 ,2.01%
MDLZ,"Mondelez International, Inc. Class A Common Stock","106,176,067,786",$77.96 ,$0.07 ,0.09%
META,"Meta Platforms, Inc. Class A Common Stock","597,934,684,741",$233.78 ,$0.70 ,-0.30%
MNST,Monster Beverage Corporation,"61,759,234,303",$58.91 ,$0.20 ,0.34%
MRVL,"Marvell Technology, Inc. Common Stock","34,644,467,000",$40.50 ,$0.07 ,0.17%
MSFT,Microsoft Corporation Common Stock,"2,322,177,124,548",$311.06 ,$1.25 ,0.40%
NVDA,NVIDIA Corporation Common Stock,"713,459,500,000",$289.27 ,$0.42 ,0.15%
NXPI,NXP Semiconductors N.V. Common Stock,"42,908,271,890",$166.00 ,$0.80 ,0.48%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","34,569,440,810",$313.76 ,$0.65 ,0.21%
ORLY,"O'Reilly Automotive, Inc. Common Stock","58,782,534,639",$951.55 ,$3.22 ,0.34%
PANW,"Palo Alto Networks, Inc. Common Stock","60,340,023,635",$199.00 ,$0.40 ,0.20%
PAYX,"Paychex, Inc. Common Stock","39,158,474,546",$108.62 ,$2.26 ,2.12%
PCAR,PACCAR Inc. Common Stock,"37,796,401,486",$72.33 ,$1.00 ,-1.36%
PEP,"PepsiCo, Inc. Common Stock","267,644,441,451",$194.69 ,$0.42 ,0.22%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","82,237,709,296",$749.59 ,$5.29 ,-0.70%
ROST,"Ross Stores, Inc. Common Stock","34,872,177,442",$101.95 ,$2.13 ,-2.05%
SGEN,Seagen Inc. Common Stock,"37,455,936,510",$199.99 ,$0.01 ,0%
SIRI,Sirius XM Holdings Inc. Common Stock,"13,253,039,286",$3.44 ,$0.02 ,0.58%
SNPS,"Synopsys, Inc. Common Stock","56,369,896,691",$370.12 ,$3.17 ,0.86%
TEAM,Atlassian Corporation Class A Common Stock,"35,219,009,286",$138.99 ,$1.57 ,1.14%
TXN,Texas Instruments Incorporated Common Stock,"148,049,400,000",$163.85 ,$0.80 ,0.49%
VRSK,"Verisk Analytics, Inc. Common Stock","30,981,612,793",$211.40 ,$3.07 ,1.43%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"90,166,584,125",$349.10 ,$0.94 ,0.27%
WBA,"Walgreens Boots Alliance, Inc. Common Stock","27,255,716,795",$31.68 ,$0.09 ,0.28%
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock","31,760,223,922",$12.99 ,$0.05 ,-0.38%
WDAY,"Workday, Inc. Class A Common Stock","46,464,600,000",$179.40 ,$0.97 ,0.54%
XEL,Xcel Energy Inc. Common Stock,"38,130,397,906",$69.30 ,$0.19 ,0.27%
ZS,"Zscaler, Inc. Common Stock","16,948,575,895",$117.20 ,$0.41 ,0.35%
